2025-03-04 21:53:30,009 - INFO - Clock rate for client 2: 4 events per second
2025-03-04 21:53:30,449 - INFO - EVENT: Internal Event | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-04 21:53:30.44, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:30,757 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-04 21:53:30.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 21:53:31,036 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-04 21:53:30.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 21:53:31,457 - INFO - EVENT: Internal Event | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-04 21:53:31.45, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:31,749 - INFO - EVENT: Internal Event | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-04 21:53:31.74, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:32,036 - INFO - EVENT: Internal Event | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-04 21:53:32.03, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:32,398 - INFO - EVENT: Internal Event | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-04 21:53:32.39, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:32,652 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-04 21:53:32.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 21:53:32,958 - INFO - EVENT: Internal Event | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-04 21:53:32.95, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:33,219 - INFO - EVENT: Internal Event | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-04 21:53:33.21, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:33,473 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-04 21:53:33.47, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:33,728 - INFO - EVENT: Internal Event | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-04 21:53:33.72, MESSAGE QUEUE LENGTH: 0

2025-03-04 21:53:34,010 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-04 21:53:33.00, MESSAGE QUEUE LENGTH: 2

2025-03-04 21:53:34,276 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-04 21:53:33.00, MESSAGE QUEUE LENGTH: 1

2025-03-04 21:53:34,528 - INFO - EVENT: Internal Event | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-04 21:53:34.52, MESSAGE QUEUE LENGTH: 0

