2025-03-05 03:27:18,339 - INFO - Clock rate for client 1: 1 events per second
2025-03-05 03:27:19,382 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 03:27:18.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 03:27:20,414 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 03:27:18.00, MESSAGE QUEUE LENGTH: 4

2025-03-05 03:27:21,462 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 03:27:19.00, MESSAGE QUEUE LENGTH: 4

2025-03-05 03:27:22,652 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 03:27:19.00, MESSAGE QUEUE LENGTH: 5

2025-03-05 03:27:23,703 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 03:27:20.00, MESSAGE QUEUE LENGTH: 8

2025-03-05 03:27:24,715 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 03:27:20.00, MESSAGE QUEUE LENGTH: 8

2025-03-05 03:27:25,731 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 03:27:21.00, MESSAGE QUEUE LENGTH: 7

2025-03-05 03:27:26,737 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 03:27:22.00, MESSAGE QUEUE LENGTH: 6

2025-03-05 03:27:27,771 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 03:27:22.00, MESSAGE QUEUE LENGTH: 5

2025-03-05 03:27:28,773 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 03:27:22.00, MESSAGE QUEUE LENGTH: 6

2025-03-05 03:27:29,833 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 03:27:23.00, MESSAGE QUEUE LENGTH: 6

2025-03-05 03:27:30,874 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 03:27:23.00, MESSAGE QUEUE LENGTH: 5

2025-03-05 03:27:31,923 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-05 03:27:24.00, MESSAGE QUEUE LENGTH: 6

2025-03-05 03:27:32,942 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-05 03:27:28.00, MESSAGE QUEUE LENGTH: 7

2025-03-05 03:27:33,990 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 46 | PHYSICAL TIME: 2025-03-05 03:27:28.00, MESSAGE QUEUE LENGTH: 9

