2025-03-05 12:24:02,781 - INFO - Clock rate for client 3: 3 events per second
2025-03-05 12:24:03,299 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 12:24:03.29, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:03,754 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 12:24:03.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 12:24:04,109 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 12:24:03.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:04,461 - INFO - EVENT: Internal Event | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-05 12:24:04.46, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:04,846 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 12:24:04.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 12:24:05,240 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 12:24:04.00, MESSAGE QUEUE LENGTH: 2

2025-03-05 12:24:05,634 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 12:24:04.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:05,981 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 12:24:05.98, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:06,336 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 12:24:06.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:06,771 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 12:24:06.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:07,132 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 12:24:07.13, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:07,471 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 16 | PHYSICAL TIME: 2025-03-05 12:24:07.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:07,840 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 12:24:07.84, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:08,219 - INFO - EVENT: Internal Event | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 12:24:08.21, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:08,677 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 12:24:08.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:09,045 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 12:24:09.04, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:09,426 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 12:24:09.42, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:09,813 - INFO - EVENT: Internal Event | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 12:24:09.81, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:10,166 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-05 12:24:09.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:10,567 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 2 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-05 12:24:10.56, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:10,940 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 12:24:10.94, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:11,309 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 12:24:11.30, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:11,759 - INFO - EVENT: Internal Event | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-05 12:24:11.75, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:12,203 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-05 12:24:11.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:12,607 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-05 12:24:12.60, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:13,000 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-05 12:24:12.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:13,384 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-05 12:24:13.00, MESSAGE QUEUE LENGTH: 1

2025-03-05 12:24:13,745 - INFO - EVENT: Internal Event | LOGICAL TIME: 42 | PHYSICAL TIME: 2025-03-05 12:24:13.74, MESSAGE QUEUE LENGTH: 0

2025-03-05 12:24:14,107 - INFO - EVENT: Send Msg | RECIPIENT: 2 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-05 12:24:14.10, MESSAGE QUEUE LENGTH: 0

