2025-03-05 19:53:54,763 - INFO - Clock rate for client 2: 3 events per second
2025-03-05 19:53:55,175 - INFO - EVENT: Internal Event | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 19:53:55.17, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:55,555 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 2 | PHYSICAL TIME: 2025-03-05 19:53:55.55, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:55,932 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 19:53:55.93, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:53:56,344 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-05 19:53:56.34, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:53:56,729 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 19:53:56.72, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:53:57,098 - INFO - EVENT: Internal Event | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 19:53:57.09, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:57,461 - INFO - EVENT: Internal Event | LOGICAL TIME: 7 | PHYSICAL TIME: 2025-03-05 19:53:57.46, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:57,799 - INFO - EVENT: Internal Event | LOGICAL TIME: 8 | PHYSICAL TIME: 2025-03-05 19:53:57.79, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:58,273 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 9 | PHYSICAL TIME: 2025-03-05 19:53:58.27, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:58,621 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 19:53:58.62, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:58,961 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 19:53:58.96, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:59,410 - INFO - EVENT: Internal Event | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 19:53:59.41, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:59,766 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 13 | PHYSICAL TIME: 2025-03-05 19:53:59.76, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:00,100 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 19:54:00.10, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:00,518 - INFO - EVENT: Internal Event | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 19:54:00.51, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:00,920 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 17 | PHYSICAL TIME: 2025-03-05 19:54:00.92, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:01,355 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 19:54:01.35, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:01,867 - INFO - EVENT: Internal Event | LOGICAL TIME: 19 | PHYSICAL TIME: 2025-03-05 19:54:01.86, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:02,231 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 19:54:02.23, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:02,635 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 19:54:02.63, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:02,975 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 19:54:02.97, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:03,323 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 23 | PHYSICAL TIME: 2025-03-05 19:54:03.32, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:03,678 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 19:54:03.67, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:04,022 - INFO - EVENT: Internal Event | LOGICAL TIME: 25 | PHYSICAL TIME: 2025-03-05 19:54:04.02, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:04,384 - INFO - EVENT: Internal Event | LOGICAL TIME: 26 | PHYSICAL TIME: 2025-03-05 19:54:04.38, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:04,821 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 27 | PHYSICAL TIME: 2025-03-05 19:54:04.82, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:05,176 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 28 | PHYSICAL TIME: 2025-03-05 19:54:05.17, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:05,594 - INFO - EVENT: Internal Event | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 19:54:05.59, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:05,959 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 19:54:05.95, MESSAGE QUEUE LENGTH: 1

2025-03-05 19:54:06,330 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 31 | PHYSICAL TIME: 2025-03-05 19:54:06.33, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:06,718 - INFO - EVENT: Internal Event | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-05 19:54:06.71, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:07,098 - INFO - EVENT: Internal Event | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-05 19:54:07.09, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:07,487 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 34 | PHYSICAL TIME: 2025-03-05 19:54:07.48, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:07,842 - INFO - EVENT: Send Msg | RECIPIENT: 3 | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-05 19:54:07.84, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:08,220 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-05 19:54:08.22, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:08,560 - INFO - EVENT: Send Msg | RECIPIENT: 1 | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-05 19:54:08.56, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:08,901 - INFO - EVENT: Send Msg | RECIPIENT: 1 and 3 | LOGICAL TIME: 38 | PHYSICAL TIME: 2025-03-05 19:54:08.90, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:54:09,266 - INFO - EVENT: Internal Event | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-05 19:54:09.26, MESSAGE QUEUE LENGTH: 0

