2025-03-05 19:53:54,779 - INFO - Clock rate for client 3: 1 events per second
2025-03-05 19:53:55,291 - INFO - EVENT: Internal Event | LOGICAL TIME: 1 | PHYSICAL TIME: 2025-03-05 19:53:55.29, MESSAGE QUEUE LENGTH: 0

2025-03-05 19:53:56,312 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 3 | PHYSICAL TIME: 2025-03-05 19:53:56.31, MESSAGE QUEUE LENGTH: 3

2025-03-05 19:53:57,334 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 4 | PHYSICAL TIME: 2025-03-05 19:53:57.33, MESSAGE QUEUE LENGTH: 3

2025-03-05 19:53:58,336 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 5 | PHYSICAL TIME: 2025-03-05 19:53:58.33, MESSAGE QUEUE LENGTH: 2

2025-03-05 19:53:59,394 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 6 | PHYSICAL TIME: 2025-03-05 19:53:59.39, MESSAGE QUEUE LENGTH: 4

2025-03-05 19:54:00,486 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 10 | PHYSICAL TIME: 2025-03-05 19:54:00.48, MESSAGE QUEUE LENGTH: 5

2025-03-05 19:54:01,529 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 11 | PHYSICAL TIME: 2025-03-05 19:54:01.52, MESSAGE QUEUE LENGTH: 5

2025-03-05 19:54:02,604 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 12 | PHYSICAL TIME: 2025-03-05 19:54:02.60, MESSAGE QUEUE LENGTH: 6

2025-03-05 19:54:03,693 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 14 | PHYSICAL TIME: 2025-03-05 19:54:03.69, MESSAGE QUEUE LENGTH: 7

2025-03-05 19:54:04,726 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 15 | PHYSICAL TIME: 2025-03-05 19:54:04.72, MESSAGE QUEUE LENGTH: 6

2025-03-05 19:54:05,738 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 18 | PHYSICAL TIME: 2025-03-05 19:54:05.73, MESSAGE QUEUE LENGTH: 7

2025-03-05 19:54:06,782 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 20 | PHYSICAL TIME: 2025-03-05 19:54:06.78, MESSAGE QUEUE LENGTH: 7

2025-03-05 19:54:07,795 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 21 | PHYSICAL TIME: 2025-03-05 19:54:07.79, MESSAGE QUEUE LENGTH: 8

2025-03-05 19:54:08,806 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 22 | PHYSICAL TIME: 2025-03-05 19:54:08.80, MESSAGE QUEUE LENGTH: 9

2025-03-05 19:54:09,813 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 24 | PHYSICAL TIME: 2025-03-05 19:54:09.81, MESSAGE QUEUE LENGTH: 10

2025-03-05 19:54:10,824 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 29 | PHYSICAL TIME: 2025-03-05 19:54:10.82, MESSAGE QUEUE LENGTH: 10

2025-03-05 19:54:11,835 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 30 | PHYSICAL TIME: 2025-03-05 19:54:11.83, MESSAGE QUEUE LENGTH: 11

2025-03-05 19:54:12,899 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 32 | PHYSICAL TIME: 2025-03-05 19:54:12.89, MESSAGE QUEUE LENGTH: 13

2025-03-05 19:54:14,020 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 33 | PHYSICAL TIME: 2025-03-05 19:54:14.02, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:15,062 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 35 | PHYSICAL TIME: 2025-03-05 19:54:15.06, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:16,103 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 36 | PHYSICAL TIME: 2025-03-05 19:54:16.10, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:17,145 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 37 | PHYSICAL TIME: 2025-03-05 19:54:17.14, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:18,154 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 39 | PHYSICAL TIME: 2025-03-05 19:54:18.15, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:19,288 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 41 | PHYSICAL TIME: 2025-03-05 19:54:19.28, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:20,297 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 43 | PHYSICAL TIME: 2025-03-05 19:54:20.29, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:21,325 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 44 | PHYSICAL TIME: 2025-03-05 19:54:21.32, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:22,340 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 45 | PHYSICAL TIME: 2025-03-05 19:54:22.34, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:23,383 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 47 | PHYSICAL TIME: 2025-03-05 19:54:23.38, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:24,473 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 48 | PHYSICAL TIME: 2025-03-05 19:54:24.47, MESSAGE QUEUE LENGTH: 17

2025-03-05 19:54:25,529 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 49 | PHYSICAL TIME: 2025-03-05 19:54:25.52, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:26,553 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 50 | PHYSICAL TIME: 2025-03-05 19:54:26.55, MESSAGE QUEUE LENGTH: 16

2025-03-05 19:54:27,564 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 52 | PHYSICAL TIME: 2025-03-05 19:54:27.56, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:28,578 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 53 | PHYSICAL TIME: 2025-03-05 19:54:28.57, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:29,580 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 54 | PHYSICAL TIME: 2025-03-05 19:54:29.58, MESSAGE QUEUE LENGTH: 15

2025-03-05 19:54:30,608 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 56 | PHYSICAL TIME: 2025-03-05 19:54:30.60, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:31,631 - INFO - EVENT: Receive Msg | SENDER: 2 | LOGICAL TIME: 63 | PHYSICAL TIME: 2025-03-05 19:54:31.63, MESSAGE QUEUE LENGTH: 14

2025-03-05 19:54:32,643 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 67 | PHYSICAL TIME: 2025-03-05 19:54:32.64, MESSAGE QUEUE LENGTH: 14

